SampleID,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,control,SampleType,Updown_pooling_18mo,Openmature_pooling,Updown_pooling_18mo_36mo,Procrustes_down,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,db,dm,dt,L,volume,W_density,Log_mass_ini,Log_Bark_Dry_weight_g,Log_No_Bark_Dry_weight_g,Log_mass_final,ML,ML_percent,t,incubation_time,Bark_thickness_T1,Bark_thickness_T2,Bark_thickness_T3,Bark_thickness_T4,Per_WSG_loss,Termi.assum,W_Carb,W_Nitro,W_Phosp,W_Pota,W_Lignin,W_Cellu,W_Hemicellu,W_Sugar,W_Fiber_content,W_Carb_Nitro_ratio,W_Lignin_Nitro_ratio,W_Lignin_Carb_ratio,B_Carb,B_Nitro,B_Phosp,B_Pota,B_Lignin,B_Cellu,B_Hemicellu,B_Sugar,B_Tannin,B_Carb_Nitro_ratio,B_Lignin_Nitro_ratio,B_Lignin_Carb_ratio
M263,16,Regenerating_forest,58,5,7317,18mo,Litsea_cubeba,up,No,UpDown,Yes,,Yes,,7317,05/11/2011,1.200681721,0.395367446,Coll_4,30/05/2013,0.544827586,0.3200883,,8.4,8.4,8.1,51,2793.257095,0.359211785,1003.370867,0,4.16,4.16,999.210867,99.58539757,572,18mo,1.52,1.52,2.05,1.83,19.0402995,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD288,16,Regenerating_forest,58,1,7318,36mo,Litsea_cubeba,up,No,Down,,,,,7318,05/11/2011,1.200681721,0.395367446,Coll_6,13/12/2014,1.129772727,0.20952381,,9.2,9.1,8.8,50.8,3280.432561,0.359211785,1178.370036,0,32.67,32.67,1145.700036,97.22752624,1134,36mo,1.61,1.61,1.52,1.52,47.0052954,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
18,16,Regenerating_forest,58,5,7317,12mo,Litsea_cubeba,up,No,PilotSample,Yes,,Yes,,7317,05/11/2011,1.200681721,0.395367446,Coll_3,04/12/2012,0.234375,0.281938326,,8.4,8.4,8.1,51,2793.257095,0.359211785,1003.370867,0,4.16,4.16,999.210867,99.58539757,395,12mo,1.52,1.52,2.05,1.83,28.6895447,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
M264,16,Regenerating_forest,58,5,7317,18mo,Litsea_cubeba,down,No,UpDown,Yes,,Yes,,7317,05/11/2011,1.200681721,0.395367446,Coll_4,30/05/2013,0.760416667,0.209912536,,8.4,8.4,8.1,51,2793.257095,0.359211785,1003.370867,0,4.16,4.16,999.210867,99.58539757,572,18mo,1.52,1.52,2.05,1.83,46.906975,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD304,16,Regenerating_forest,83,7,7315,36mo,Litsea_cubeba,up,No,Down,,,,,7315,05/11/2011,1.200681721,0.395367446,Coll_6,13/12/2014,0.35952381,0.265822785,,8,7.7,7.8,51,2416.670415,0.359211785,868.0964934,0,1.02,1.02,867.0764934,99.88250154,1134,36mo,1.42,2.12,2.1,1.92,32.7656367,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD24,16,Regenerating_forest,58,9,7314,18mo,Litsea_cubeba,down,No,Down,,,,,7314,05/11/2011,1.200681721,0.395367446,Coll_4,30/05/2013,0.833333333,0.246376812,,8.8,8.8,8.5,51,3067.235421,0.359211785,1101.78711,0.62,4.34,5.02,1096.76711,99.54437659,572,18mo,1.9,1.89,1.87,1.87,37.6840925,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD42,16,Regenerating_forest,83,5,7319,18mo,Litsea_cubeba,down,No,Down,Yes,,Yes,,7319,05/11/2011,1.200681721,0.395367446,Coll_4,14/06/2013,1.37366548,0.376171352,,9.8,9.5,9.3,51.4,3657.003009,0.359211785,1313.638578,NA,NA,NA,NA,NA,587,18mo,1.86,2.51,1.77,1.45,4.8552541,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD21,16,Regenerating_forest,58,1,7318,18mo,Litsea_cubeba,down,No,Down,,,,,7318,05/11/2011,1.200681721,0.395367446,Coll_4,30/05/2013,4.875,0.192771084,,9.2,9.1,8.8,50.8,3280.432561,0.359211785,1178.370036,0,32.67,32.67,1145.700036,97.22752624,572,18mo,1.61,1.61,1.52,1.52,51.2425499,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD289,16,Regenerating_forest,58,9,7314,36mo,Litsea_cubeba,up,No,Down,,,,,7314,05/11/2011,1.200681721,0.395367446,Coll_6,13/12/2014,0.325277778,0.361809045,,8.8,8.8,8.5,51,3067.235421,0.359211785,1101.78711,0.62,4.34,5.02,1096.76711,99.54437659,1134,36mo,1.9,1.89,1.87,1.87,8.4879019,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD43,16,Regenerating_forest,83,7,7315,18mo,Litsea_cubeba,down,No,Down,,,,,7315,05/11/2011,1.200681721,0.395367446,Coll_4,14/06/2013,2.054945055,0.305711086,,8,7.7,7.8,51,2416.670415,0.359211785,868.0964934,0,1.02,1.02,867.0764934,99.88250154,587,18mo,1.42,2.12,2.1,1.92,22.6767178,1,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MDH351,17,Mature_forest,189,1,7323,36mo,Litsea_cubeba,up,No,OpenMature,,Yes,Yes,,7323,12/11/2011,0.71972409,0.411549103,Coll_6,26/12/2014,1.750357143,0.243478261,,10,9.7,9.4,48.4,3577.809471,0.37756313,1350.848944,19.29,436.58,456.27,894.5789441,66.22346252,1140,36mo,2.44,1.95,1.95,1.48,40.8385881,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD351,17,Mature_forest,189,1,7323,36mo,Litsea_cubeba,down,No,Down,,Yes,Yes,Yes,7323,12/11/2011,0.71972409,0.411549103,Coll_6,26/12/2014,2.9803125,0.195121951,,10,9.7,9.4,48.4,3577.809471,0.37756313,1350.848944,19.29,436.58,456.27,894.5789441,66.22346252,1140,36mo,2.44,1.95,1.95,1.48,52.5884154,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MD102,17,Mature_forest,189,1,7323,18mo,Litsea_cubeba,down,No,Down,,Yes,Yes,Yes,7323,12/11/2011,0.71972409,0.411549103,Coll_4,13/06/2013,1.128712871,0.297058824,,10,9.7,9.4,48.4,3577.809471,0.37756313,1350.848944,19.29,436.58,456.27,894.5789441,66.22346252,579,18mo,2.44,1.95,1.95,1.48,27.8193487,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
MDH102,17,Mature_forest,189,1,7323,18mo,Litsea_cubeba,up,No,OpenMature,,Yes,Yes,,7323,12/11/2011,0.71972409,0.411549103,Coll_4,13/06/2013,0.244897959,0.333333333,,10,9.7,9.4,48.4,3577.809471,0.37756313,1350.848944,19.29,436.58,456.27,894.5789441,66.22346252,579,18mo,2.44,1.95,1.95,1.48,19.0052097,0,46.96666667,1.886666667,0.186666667,1.626666667,10.56666667,59.72333333,25.07666667,0.666666667,72.46333333,25.17311746,5.679373476,0.225026152,49.9,10.165,0.585,2.87,27.55,33.94,16.425,0.78,0.33,4.909059676,2.711403229,0.552104209
