SampleID,Chao1,se.chao1,Shannon,Chao1_strict_sqrt,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,W_density,Per_WSG_loss,Termi.assum,Blue_Staining,Brown_Rot,Hypogeous,Poisonous,Soft_Rot,Soft_Rot.fungus_Seehann_et_al_1975.,White_Rot,Unassigned,Pathogen.Saprotroph.Symbiotroph,Pathotroph,Pathotroph.Saprotroph,Pathotroph.Saprotroph.Symbiotroph,Pathotroph.Symbiotroph,Saprotroph,Saprotroph.Pathotroph.Symbiotroph,Saprotroph.Symbiotroph,Symbiotroph
MD171,369.6326531,16.46024861,3.089754664,19.22583296,10,Regenerating_forest,259,9,7168,18mo,Litsea_cubeba,down,7168,26/10/2011,1.0867937,0.326324491,Coll_4,08/06/2013,0.051813472,0.13282863,,0.225638094,59.2955375,0,5,0,0,0,77,0,16,14492,0,2701,66,602,375,9343,0,0,53
MD173,458.0769231,22.16534394,3.697639608,21.40273167,10,Regenerating_forest,259,3,7171,18mo,Litsea_cubeba,down,7171,26/10/2011,1.0867937,0.326324491,Coll_4,08/06/2013,1.753968254,0.232472325,,0.225638094,28.760381,0,0,2,0,0,67,0,24,6764,0,655,258,5602,192,8388,0,24,47
MD174,232.0666667,5.894548323,3.269911787,15.2337345,4,Regenerating_forest,259,1,7128,18mo,Litsea_cubeba,down,7128,26/10/2011,0.542524377,0.442314604,Coll_4,08/06/2013,0.300970874,0.352739726,,0.491523919,20.2513951,0,0,0,0,0,674,0,851,9520,0,3306,122,164,595,5852,0,0,387
MD175,199.55,6.580577341,2.995371159,14.12621676,4,Regenerating_forest,259,7,7127,18mo,Litsea_cubeba,down,7127,26/10/2011,0.542524377,0.442314604,Coll_4,08/06/2013,0.366834171,0.367158672,,0.491523919,16.9915104,0,0,0,0,0,158,0,122,2014,1,629,1070,1702,561,9069,0,44,26
MD176,227.1666667,30.5080953,1.816816025,15.07204919,E,Regenerating_forest,259,9,7239,18mo,Castanopsis_mekongensis,down,7239,26/10/2011,0.689670932,0.715406749,Coll_4,08/06/2013,0.271126761,0.631111111,,0.616650696,11.7828967,1,0,0,0,0,51,0,98,2027,0,206,552,156,8,1520,0,12759,859
MD177,330.8,25.93305631,2.916703866,18.18790807,E,Regenerating_forest,259,3,7237,18mo,Castanopsis_mekongensis,down,7237,26/10/2011,0.689670932,0.715406749,Coll_4,08/06/2013,0.206896552,0.574257426,,0.616650696,19.7299401,0,0,0,0,0,19,0,117,8004,0,534,6,120,261,3807,0,1061,5605
MD179,355.84,15.03402601,3.717128534,18.8637218,R,Regenerating_forest,259,7,7427,18mo,Castanopsis_mekongensis,down,7427,26/10/2011,0.8977718,0.750383991,Coll_4,08/06/2013,0.47826087,0.532631579,,0.620811095,29.0187977,1,207,0,0,0,157,0,8,7059,0,1880,357,1423,96,4684,0,68,100
MD18,332.6363636,18.25398494,3.351495885,18.23832129,F,Regenerating_forest,49,7,7241,18mo,Castanopsis_mekongensis,down,7241,07/11/2011,0.913826545,0.753916858,Coll_4,03/06/2013,0.245098039,0.542553191,,0.629019608,28.035408,0,0,3,0,0,5671,0,22,4002,40,681,91,3001,12,10043,0,7739,422
MD180,537.09375,28.62950871,3.556475625,23.17528317,T,Regenerating_forest,259,1,7441,18mo,Castanopsis_mekongensis,down,7441,26/10/2011,0.802478179,0.801869708,Coll_4,06/08/2013,0.344086022,0.52991453,,0.659859836,33.915133,1,252,6,6,0,3113,0,1228,6552,20,600,798,1539,2784,7397,0,201,103
MD181,152.4,12.10851083,1.873743468,12.34503949,19,Regenerating_forest,271,9,7328,18mo,Litsea_cubeba,down,7328,09/11/2011,1.234903434,0.407485222,Coll_4,09/06/2013,0.711711712,0.333333333,,0.370815645,18.1974425,1,0,1,0,0,4097,0,6612,1664,1,23,461,103,1,7531,0,4187,14
MD182,458.3728814,18.43954287,4.007551672,21.40964459,19,Regenerating_forest,271,3,7332,18mo,Litsea_cubeba,down,7332,09/11/2011,1.234903434,0.407485222,Coll_4,09/06/2013,0.724770642,0.417624521,,0.370815645,13.3426912,0,41,0,0,0,2141,2,223,3716,41,176,73,64,495,5919,0,8,37
MD183,261.625,18.32060847,3.129132924,16.17482612,19,Regenerating_forest,271,1,7331,18mo,Litsea_cubeba,down,7331,09/11/2011,1.234903434,0.407485222,Coll_4,09/06/2013,0.573770492,0.31202046,,0.370815645,23.4277848,0,0,0,6,8,99,0,2926,4480,1,330,5,416,6,6143,0,11,33
MD184,249.9333333,16.61948389,2.9715108,15.80927998,19,Regenerating_forest,271,5,7329,18mo,Litsea_cubeba,down,7329,09/11/2011,1.234903434,0.407485222,Coll_4,09/06/2013,0.278571429,0.335731415,,0.370815645,17.6089348,0,0,0,0,0,247,0,0,3285,4,967,452,1805,1865,6107,0,5,78
MD185,240.2,12.97762052,3.352383231,15.49838701,19,Regenerating_forest,271,7,7330,18mo,Litsea_cubeba,down,7330,09/11/2011,1.234903434,0.407485222,Coll_4,09/06/2013,6.333333333,0.199052133,,0.370815645,51.1510793,0,6,0,0,0,99,3,238,3141,16,381,286,228,71,4295,0,140,207
MD186,153,16.3467312,1.012006431,12.36931688,H,Regenerating_forest,271,9,7250,18mo,Castanopsis_mekongensis,down,7250,09/11/2011,0.643164529,0.784163343,Coll_4,09/06/2013,0.364705882,0.518292683,,0.66598153,33.90501,0,1,1,1,0,10,0,244,16748,0,224,5,12,24,753,0,423,46
MD187,133,13.01356663,0.580304241,11.53256259,H,Regenerating_forest,271,7,7254,18mo,Castanopsis_mekongensis,down,7254,09/11/2011,0.643164529,0.784163343,Coll_4,09/06/2013,0.4375,0.572890026,,0.66598153,26.9425139,0,0,0,0,0,385,0,50,15196,0,28,452,7,32,586,0,32,14
MD188,150.55,8.919976686,1.940158309,12.26988183,H,Regenerating_forest,271,1,7255,18mo,Castanopsis_mekongensis,down,7255,09/11/2011,0.643164529,0.784163343,Coll_4,09/06/2013,0.306878307,0.546242775,,0.66598153,30.34069,0,85,0,13,0,1853,0,102,3570,0,138,1636,131,21,5596,0,7,20
MD19,440.2790698,20.00874248,3.436387353,20.98282797,F,Regenerating_forest,49,5,7242,18mo,Castanopsis_mekongensis,down,7242,07/11/2011,0.913826545,0.753916858,Coll_4,03/06/2013,0.208588957,0.509375,,0.629019608,32.4361838,1,0,2,0,0,274,0,1,6693,1,1636,74,398,8,3763,0,657,831
MD190,143.3333333,7.298399039,2.866454611,11.97219,H,Regenerating_forest,271,3,7249,18mo,Castanopsis_mekongensis,down,7249,09/11/2011,0.643164529,0.784163343,Coll_4,09/06/2013,0.551724138,0.534210526,,0.66598153,31.8750958,0,0,0,0,0,62,0,51,2350,24,496,26,84,0,4437,0,12,74
MD191,226.6521739,14.68381589,2.506068531,15.05497173,9,Open_land,357,3,7165,18mo,Litsea_cubeba,down,7165,25/11/2011,0.809196775,0.389271496,Coll_4,06/06/2013,0.398843931,0.273301738,,0.347127569,29.7914847,0,0,24,0,0,2463,0,113,7750,11,537,139,79,38,30002,0,15,388
MD192,474.1052632,26.86945674,3.2566979,21.77395837,9,Open_land,357,9,7167,18mo,Litsea_cubeba,down,7167,25/11/2011,0.809196775,0.389271496,Coll_4,06/06/2013,1.631818182,0.315186246,,0.347127569,19.0317685,1,12,43,0,7,374,0,2223,9269,0,876,109,1696,70,6544,0,294,3677
MD193,174.75,9.896751984,1.771538647,13.21930407,9,Open_land,357,7,7166,18mo,Litsea_cubeba,down,7166,25/11/2011,0.809196775,0.389271496,Coll_4,06/06/2013,3.666666667,0.204545455,,0.347127569,47.4542945,0,0,4,0,87,624,0,81,13379,28,1141,78,103,19,8803,0,4,441
MD194,458.1186441,24.4679725,3.130263025,21.40370632,9,Open_land,357,1,7162,18mo,Litsea_cubeba,down,7162,25/11/2011,0.809196775,0.389271496,Coll_4,06/06/2013,0.314516129,0.303921569,,0.347127569,21.925553,0,0,0,0,0,1844,0,368,11026,0,184,32,369,29,21067,0,11,4818
MD196,247.75,38.27984032,2.777597106,15.74007624,S,Open_land,357,1,7435,18mo,Castanopsis_mekongensis,down,7435,25/11/2011,1.013930986,0.700845623,Coll_4,06/06/2013,0.299212598,0.437931034,,0.594806365,37.5139088,1,64,53,1,0,1580,0,267,10355,0,386,451,190,125,3850,0,1358,709
MD198,190.24,8.002997965,2.614986701,13.79275172,S,Open_land,357,7,7433,18mo,Castanopsis_mekongensis,down,7433,25/11/2011,1.013930986,0.700845623,Coll_4,06/06/2013,0.266666667,0.5,,0.594806365,28.6576125,0,274,17,0,0,473,0,1130,8148,0,513,101,158,113,4594,0,3759,1640
MD199,269.1034483,18.76346574,2.522956943,16.40437284,S,Open_land,357,9,7438,18mo,Castanopsis_mekongensis,down,7438,25/11/2011,1.013930986,0.700845623,Coll_4,06/06/2013,0.581730769,0.553191489,,0.594806365,21.0679967,0,1,111,0,0,1742,0,44,9375,1,873,293,321,40,3232,0,59,93
MD2,407.9642857,14.33448654,3.999585825,20.1981258,15,Regenerating_forest,7,1,7312,18mo,Litsea_cubeba,down,7312,06/11/2011,0.890905599,0.415838026,Coll_4,31/05/2013,0.274725275,0.369918699,,0.373815336,11.0425991,1,0,0,0,5,1789,0,36,8314,6,1181,198,68,201,14303,0,7,1664
MD20,502.22,14.17947438,4.047118184,22.4102655,J,Regenerating_forest,49,3,7268,18mo,Castanopsis_mekongensis,down,7268,07/11/2011,0.687076644,0.853662979,Coll_4,03/06/2013,0.259587021,0.725910064,,0.725552417,14.9652635,0,456,2,0,0,241,0,1284,13065,3,1044,609,514,303,3665,0,2130,4427
MD200,200.25,15.0404111,2.607708093,14.1509717,S,Open_land,357,3,7430,18mo,Castanopsis_mekongensis,down,7430,25/11/2011,1.013930986,0.700845623,Coll_4,06/06/2013,1.377777778,0.368852459,,0.594806365,47.3703699,0,150,54,11,0,594,0,3492,2935,0,509,85,204,31,13451,0,144,115
